City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Fluker,LA,78.8,16.3,4.9,0.0
Flushing,MI,83.7,11.4,4.7,0.1
Folkston,GA,72.1,24.5,3.3,0.0
Fond Du Lac,WI,84.0,10.7,5.0,0.3
Fontana Dam,NC,69.7,22.8,5.9,1.5
Ford,WA,69.1,21.7,8.8,0.4
Forest,MS,75.4,15.2,8.5,0.8
Forest City,IA,84.3,7.9,7.5,0.3
Forest City,NC,80.4,12.9,6.5,0.2
Forest City,PA,78.3,11.2,10.2,0.3
Forest Hill,WV,69.8,22.4,7.7,0.1
Foristell,MO,86.2,8.7,5.1,0.1
Forrest City,AR,64.9,25.7,9.4,0.0
Fort Bragg,CA,64.9,19.1,15.4,0.6
Fort Buchanan,PR,69.4,18.2,12.3,0.1
Fort Collins,CO,76.0,17.1,6.7,0.2
Fort Davis,TX,50.5,29.5,18.2,1.8
Fort Johnson,NY,79.0,16.2,4.4,0.3
Fort Lauderdale,FL,82.2,11.3,6.4,0.1
Fort Morgan,CO,74.9,17.5,7.3,0.3
Fort Pierce,FL,80.2,13.5,6.1,0.3
Fort Plain,NY,76.4,17.4,6.0,0.1
Fort Scott,KS,75.8,18.3,5.8,0.1
Fort Stewart,GA,61.8,34.7,3.4,0.1
Fort Valley,GA,73.1,21.1,5.4,0.4
Fort Valley,VA,79.1,15.4,5.4,0.2
Fort Wayne,IN,86.4,9.1,4.4,0.2
Fortine,MT,67.6,20.0,12.0,0.4
Fortuna,CA,63.8,22.0,14.0,0.3
Fouke,AR,75.3,16.8,7.8,0.0
Fountain,CO,76.6,17.5,5.7,0.2
Fountain,NC,78.0,17.4,4.4,0.2
Fountaintown,IN,85.4,9.2,5.4,0.1
Fowler,IL,83.4,10.7,5.6,0.2
Fowler,KS,61.2,28.4,10.3,0.2
Francis,OK,65.0,29.3,5.7,0.1
Frankfort,IN,87.5,7.5,4.9,0.1
Franklin,GA,76.0,15.2,8.6,0.2
Franklin,ID,81.3,11.9,6.4,0.3
Franklin,IN,84.1,10.4,5.4,0.1
Franklin,NE,78.6,11.9,8.9,0.5
Franklin,OH,83.9,10.7,5.2,0.1
Franklin,TX,69.8,22.4,7.6,0.1
Franklin,VA,67.0,26.5,5.949999999999999,0.5
Franklin,WV,64.5,25.9,9.1,0.5
Frankston,TX,75.6,13.9,10.4,0.1
Frazer,MT,61.7,22.6,14.9,0.9
Frederick,MD,73.9,20.7,5.2,0.2
Fredericksburg,VA,73.6,22.3,3.9000000000000004,0.15000000000000002
Fredonia,KY,74.5,20.0,5.3,0.2
Fredonia,ND,58.4,11.8,27.8,2.0
Fremont,CA,78.7,13.8,7.4,0.1
French Village,MO,77.3,18.9,3.8,0.1
Friendly,WV,75.8,18.9,5.2,0.0
Frisco,TX,82.2,11.9,5.7,0.1
Fritch,TX,82.0,11.7,5.9,0.4
Frost,MN,74.6,12.5,12.6,0.3
Fulda,MN,81.3,9.5,8.9,0.3
Funk,NE,75.1,12.1,12.3,0.5
Gackle,ND,63.6,14.1,20.4,1.9
Gadsden,AL,79.8,14.4,5.6,0.2
Gainesville,FL,69.1,26.6,4.3,0.1
Galax,VA,80.4,14.1,5.5,0.0
Galena,MD,76.1,13.3,10.1,0.5
Galena,MO,79.0,9.3,11.4,0.3
Galloway,OH,78.4,14.8,6.7,0.1
Gallup,NM,58.1,34.0,7.7,0.1
Galt,IA,76.9,14.6,8.5,0.0
Galva,IA,75.2,14.2,10.3,0.3
Garden,MI,82.1,11.8,5.9,0.3
Garden City,TX,70.0,18.7,11.1,0.2
Gardiner,MT,71.8,13.8,13.5,0.8
Garfield,GA,74.6,21.0,4.4,0.0
Garland,TX,83.9,9.5,6.4,0.1
Garland,UT,79.6,15.9,4.3,0.2
Garyville,LA,84.1,11.9,3.9,0.1
Gasquet,CA,57.0,32.7,10.0,0.4
Gastonia,NC,83.8,11.2,4.9,0.2
Gates,TN,72.5,21.8,5.5,0.3
Gatzke,MN,76.9,12.8,10.0,0.3
Gaylesville,AL,73.1,18.5,7.9,0.5
Genesee,ID,75.0,16.3,8.5,0.3
Genesee,PA,79.1,12.0,8.6,0.3
Geneseo,KS,69.6,20.9,9.5,0.0
Genoa,NE,66.9,16.7,14.9,1.5
Genoa City,WI,81.4,12.0,6.2,0.3
Georgetown,SC,78.9,13.3,7.6,0.1
Georgiana,AL,77.3,18.4,4.1,0.2
Gepp,AR,73.5,14.9,11.0,0.6
Gettysburg,SD,67.9,15.1,16.8,0.3
Gibbon,MN,77.9,11.4,10.3,0.4
Gilbertown,AL,77.5,16.8,5.4,0.3
Gillette,WY,80.8,14.6,4.3,0.3
Gillsville,GA,78.2,13.8,7.2,0.8
Gilman,IA,75.6,14.4,9.6,0.4
Gilman,VT,70.6,17.8,11.1,0.5
Gilman City,MO,71.6,16.4,11.5,0.6
Girard,GA,75.8,17.8,6.1,0.4
Girvin,TX,68.6,24.5,6.0,0.9
Gladeville,TN,80.7,11.7,7.5,0.0
Glen Allan,MS,70.5,24.1,5.2,0.1
Glencoe,OK,67.0,27.4,5.2,0.5
Glennallen,AK,56.6,32.9,10.1,0.4
Glenrock,WY,75.0,17.7,7.0,0.3
Glenwood,AR,68.5,18.4,13.1,0.0
Glenwood,GA,64.3,27.6,8.1,0.0
Gloster,MS,64.2,33.1,2.7,0.0
Glyndon,MN,80.6,13.6,5.7,0.1
Goessel,KS,73.7,15.6,10.1,0.6
Goetzville,MI,63.7,29.5,6.6,0.3
Gold Creek,MT,56.3,31.3,12.4,0.0
Golden City,MO,74.9,12.9,11.1,1.1
Golden Valley,ND,80.3,13.1,6.6,0.0
Goldfield,NV,70.9,18.3,10.8,0.0
Goldsboro,NC,74.5,19.8,5.4,0.3
Good Hope,IL,65.8,28.7,5.3,0.2
Goodhue,MN,81.2,10.7,8.0,0.2
Goodlettsville,TN,77.0,14.9,8.0,0.1
Goodview,VA,80.5,13.8,5.5,0.2
Goose Creek,SC,76.5,19.1,4.3,0.1
Gordo,AL,77.8,17.9,4.2,0.1
Gordon,GA,73.4,19.7,6.7,0.2
Gordonsville,VA,73.6,19.7,6.7,0.0
Goshen,NY,75.7,19.8,4.3,0.1
Goshen,VA,71.4,17.0,11.5,0.1
Gosport,IN,80.5,11.3,7.7,0.4
Gouldbusk,TX,71.4,17.4,10.9,0.2
Gouldsboro,ME,70.5,13.6,15.8,0.1
Gouldsboro,PA,83.7,11.3,4.8,0.2
Gouverneur,NY,68.8,24.3,6.8,0.1
Gove,KS,63.3,18.7,17.8,0.2
Grace,ID,72.4,18.2,8.2,1.2
Graham,KY,74.2,19.5,6.0,0.3
Graham,NC,81.2,12.7,5.8,0.3
Granby,MO,82.2,10.8,6.7,0.3
Grand Forks,ND,73.7,22.0,4.0,0.2
Grand Isle,ME,73.7,17.2,9.0,0.1
Grand Ledge,MI,76.69999999999999,16.35,6.75,0.2
Grand Marais,MN,61.9,26.4,11.0,0.6
Grand Rapids,MI,87.3,7.7,4.9,0.1
Grand Rapids,OH,81.3,13.4,5.1,0.2
Grand Valley,PA,79.9,12.4,7.3,0.3
Granite Falls,MN,76.5,14.8,8.5,0.3
Grant,FL,80.5,13.9,5.4,0.2
Grants,NM,65.0,27.1,7.7,0.2
Grantsville,UT,74.8,21.2,3.9,0.1
Granville Summit,PA,82.7,9.9,7.1,0.2
Grapeview,WA,64.5,25.9,9.5,0.1
Grasston,MN,77.05,15.2,7.55,0.2
Gravois Mills,MO,75.94999999999999,13.25,10.5,0.30000000000000004
Graysville,GA,82.1,13.0,4.8,0.0
Greeley,NE,66.8,12.7,19.3,1.2
Greeleyville,SC,74.35,19.700000000000003,5.9,0.0
Green Castle,MO,67.0,14.8,17.7,0.6
Green City,MO,76.2,12.2,11.0,0.7
Green River,WY,78.6,17.7,3.7,0.0
Green Springs,OH,84.0,11.1,4.8,0.1
Greenbush,MI,77.0,15.6,7.4,0.0
Greene,RI,82.6,12.7,4.6,0.1
Greenfield,IL,76.3,13.0,10.2,0.5
Greenfield,MA,72.2,18.2,9.5,0.2
Greenfield,OH,78.3,17.3,4.2,0.2
Greenleaf,ID,79.8,12.7,7.2,0.3
Greenmountain,NC,71.6,20.799999999999997,7.55,0.1
Greensboro,VT,72.9,15.5,10.8,0.8
Greensburg,KY,74.0,14.6,11.2,0.1
Greenville,AL,75.75,17.0,7.050000000000001,0.25
Greenville,GA,75.6,15.6,8.5,0.2
Greenville,SC,85.0,9.6,5.3,0.1
Greenville,WV,77.2,15.7,7.2,0.0
Greenwich,OH,81.7,12.3,5.8,0.2
Greenwood,AR,84.8,10.6,4.3,0.3
Greenwood,LA,80.0,15.5,4.4,0.1
Greenwood,SC,80.6,13.7,5.6,0.05
Grey Eagle,MN,76.0,12.1,11.1,0.8
Griffithsville,WV,76.9,20.4,2.7,0.0
Grifton,NC,72.9,20.2,6.7,0.3
Grimes,CA,75.6,15.5,8.8,0.1
Grinnell,KS,63.1,18.1,18.6,0.2
Groom,TX,69.05,21.35,9.35,0.2
Grosse Tete,LA,76.9,19.2,3.9,0.0
Groveport,OH,77.5,16.9,5.4,0.2
Grover Hill,OH,83.7,9.9,6.1,0.3
Groves,TX,81.9,13.4,4.5,0.1
Gruver,TX,71.0,18.6,10.2,0.2
Guanica,PR,67.85,26.8,5.35,0.0
Guayama,PR,67.1,27.1,5.7,0.1
Guilford,ME,74.1,14.4,11.3,0.1
Gunnison,CO,66.0,21.55,10.95,1.5
Guntown,MS,77.9,16.1,5.8,0.2
Gurabo,PR,70.8,25.1,4.1,0.0
Gurley,NE,80.8,11.4,7.8,0.0
Guttenberg,IA,84.7,10.0,5.2,0.2
Hadley,MA,71.1,21.4,7.4,0.1
Hagarville,AR,80.3,14.0,5.5,0.2
Hagerstown,IN,82.8,11.9,5.0,0.3
Hagerstown,MD,76.6,18.1,5.1,0.2
Hague,VA,64.9,25.0,10.0,0.0
Haiku,HI,75.7,15.1,8.8,0.4
Haines,AK,69.0,19.7,10.3,1.0
Haleyville,AL,75.0,16.5,8.0,0.5
Hamer,ID,73.9,17.75,8.15,0.30000000000000004
Hamer,SC,80.0,15.6,4.3,0.1
Hamill,SD,50.4,34.2,15.0,0.3
Hamilton,CO,78.2,13.5,8.0,0.3
Hamilton,IN,84.6,10.0,5.3,0.1
Hamilton,MS,80.0,14.8,4.7,0.4
Hamilton,TX,72.9,17.8,7.5,1.9
Hamilton City,CA,68.1,19.8,10.9,1.1
Hamlin,WV,80.7,16.7,2.6,0.0
Hampshire,TN,74.8,10.3,15.0,0.0
Hampstead,MD,76.3,18.2,5.4,0.0
Hampton,NE,78.0,11.3,10.4,0.3
Hampton,VA,73.5,22.5,4.0,0.0
Hanalei,HI,73.0,16.4,10.5,0.1
Hanover,IN,80.1,14.7,4.5,0.7
Hanover,MA,80.9,13.4,5.7,0.1
Hanover,MD,71.75,23.65,4.449999999999999,0.15000000000000002
Hanston,KS,57.6,21.8,19.0,1.6
Hardeeville,SC,77.6,14.7,7.7,0.1
Hardesty,OK,78.7,15.5,5.4,0.3
Hardin,IL,77.0,12.8,9.8,0.4
Hardin,MT,47.7,43.2,8.7,0.5
Harlem,GA,81.2,14.3,4.3,0.2
Harold,KY,71.2,22.3,6.4,0.0
Harpers Ferry,WV,71.6,23.4,4.8,0.2
Harrell,AR,74.9,17.7,7.4,0.0
Harrellsville,NC,73.3,21.3,5.4,0.0
Harrietta,MI,81.9,11.0,6.9,0.2
Harrington,WA,64.7,26.4,8.6,0.2
Harrisburg,MO,71.4,24.0,4.4,0.1
Harrisburg,NE,60.4,19.1,20.4,0.0
Harrisburg,OR,77.7,15.5,6.6,0.1
Harrison,AR,72.9,15.3,11.8,0.0
Harrisonburg,VA,76.55000000000001,17.35,5.75,0.3
Harrisonville,MO,82.1,12.0,5.7,0.2
Harrodsburg,KY,75.8,16.0,7.1,1.1
Harrold,SD,63.1,32.8,3.9,0.2
Harrold,TX,66.0,29.6,4.4,0.1
Hart,MI,79.2,13.3,6.8,0.7
Hartford,AL,75.7,15.0,8.8,0.4
Hartland,ME,78.6,12.7,8.6,0.1
Hartland,MN,83.0,9.6,7.4,0.1
Hartland,WI,87.4,8.3,4.2,0.1
Harvey,AR,70.9,20.0,9.0,0.0
Harvey,ND,67.8,15.6,16.1,0.5
Hastings,FL,81.7,12.4,5.9,0.0
Hastings,MI,83.5,9.7,6.7,0.2
Hatillo,PR,66.7,24.9,8.4,0.0
Hattiesburg,MS,76.65,18.65,4.699999999999999,0.05
Haughton,LA,74.3,20.4,5.2,0.1
Haviland,KS,67.7,19.2,13.1,0.0
Hawkins,WI,76.0,13.3,10.0,0.7
Hawkinsville,GA,69.3,24.1,6.5,0.1
Hawley,PA,77.4,13.7,8.7,0.2
Hawthorne,FL,76.6,17.3,5.9,0.2
Hay Springs,NE,59.9,29.0,10.7,0.4
Hayes,SD,66.5,24.0,8.7,0.8
Hayes Center,NE,57.2,20.0,21.5,1.3
Haymarket,VA,72.3,23.5,4.0,0.1
Hazelton,ND,58.2,17.8,22.8,1.2
Hazen,AR,73.9,15.1,11.1,0.0
Head Waters,VA,61.8,21.3,16.9,0.0
Healy,KS,56.4,26.7,16.7,0.2
Heath,OH,80.4,13.3,6.3,0.1
Hebbronville,TX,56.8,30.7,11.7,0.8
Hebron,KY,85.2,11.3,3.5,0.1
Heflin,AL,76.4,13.9,8.9,0.9
Helena,GA,60.0,31.7,8.3,0.1
Hemingford,NE,68.55,15.899999999999999,15.5,0.05
Hemphill,TX,75.1,18.1,6.8,0.0
Henderson,KY,80.7,14.1,5.1,0.1
Hendersonville,NC,79.8,11.8,8.2,0.1
Henley,MO,67.5,27.8,4.2,0.4
Hennepin,OK,70.8,22.0,6.2,1.0
Henry,SD,82.2,11.7,6.0,0.1
Hensley,AR,77.1,18.1,4.8,0.0
Heppner,OR,77.3,15.5,7.2,0.0
Hereford,TX,73.5,14.5,10.8,1.2
Hernando,FL,78.2,14.4,6.9,0.5
Heron Lake,MN,71.4,12.8,15.3,0.5
Herron,MI,79.9,12.5,7.3,0.3
Herscher,IL,82.0,13.6,4.2,0.1
Hershey,NE,78.5,14.6,6.7,0.2
Hesperia,MI,78.3,13.2,8.2,0.3
Hesston,KS,77.5,12.2,9.9,0.4
Hestand,KY,72.1,15.3,11.4,1.2
Hickman,KY,75.2,17.2,6.7,0.8
Hickman,TN,76.0,13.6,10.3,0.2
Hickory,NC,83.8,10.9,5.2,0.1
Hicksville,OH,83.5,11.1,5.3,0.1
Hico,TX,76.7,15.3,7.9,0.0
Hidalgo,IL,78.7,13.9,7.2,0.1
Higgins,TX,72.7,14.7,12.2,0.4
High Bridge,NJ,79.6,13.6,6.6,0.1
High Point,NC,81.8,11.9,6.2,0.1
High Springs,FL,73.4,21.1,5.5,0.0
Hilham,TN,72.7,17.4,8.6,1.2
Hill,NH,75.6,16.7,7.6,0.1
Hilliard,OH,80.8,14.8,4.3,0.1
Hillsboro,ND,72.3,19.2,8.4,0.2
Hillsdale,NY,71.0,19.8,8.9,0.3
Hilo,HI,69.7,19.4,10.3,0.5
Himrod,NY,72.0,13.9,13.2,0.9
Hines,MN,66.8,26.9,6.2,0.1
Hinsdale,NH,78.3,14.6,7.1,0.1
Hinsdale,NY,73.9,19.8,6.1,0.3
Hitchins,KY,80.1,15.5,4.3,0.1
Hiwassee,VA,76.3,19.0,4.7,0.0
Hixson,TN,79.6,14.3,5.9,0.2
Hobbs,NM,80.8,13.6,5.5,0.1
Hobson,MT,53.1,23.9,19.8,3.2
Hoffman,MN,71.4,14.3,13.9,0.4
Hokah,MN,80.2,9.7,9.9,0.2
Holbrook,ID,68.1,22.4,8.2,1.3
Holcomb,KS,78.3,15.4,6.0,0.3
Holcomb,MO,76.5,16.7,6.6,0.2
Holden,LA,80.7,16.1,2.7,0.4
Holden,UT,73.2,17.4,9.2,0.2
Holdingford,MN,77.6,12.0,9.7,0.6
Holland,IN,87.1,8.4,4.4,0.1
Holland,TX,69.2,25.7,5.0,0.1
Holly,CO,67.5,24.1,8.2,0.1
Holly Ridge,NC,66.3,27.7,5.9,0.1
Holly Springs,NC,80.1,15.1,4.8,0.1
Holmen,WI,82.1,13.7,4.1,0.1
Holt,MI,75.1,19.9,4.9,0.1
Holyoke,CO,70.1,16.2,13.3,0.5
Homer,IN,79.9,11.7,8.1,0.3
Honey Grove,PA,81.6,11.0,7.2,0.2
Hooper,CO,67.6,26.9,5.4,0.1
Hope,AR,73.6,20.3,6.1,0.0
Hope,KY,77.7,16.6,5.5,0.2
Hope,NM,73.6,19.1,7.2,0.1
Hope Valley,RI,75.9,17.3,6.7,0.1
Hopewell,VA,79.0,18.8,2.2,0.0
Hormigueros,PR,64.2,27.2,8.6,0.0
Hornbeak,TN,77.0,13.4,9.1,0.4
Hornell,NY,76.4,16.7,6.7,0.3
Horner,WV,79.0,15.9,5.0,0.1
Horse Cave,KY,76.7,15.0,8.0,0.3
Horseshoe Beach,FL,64.9,27.0,8.1,0.0
Hosford,FL,52.2,38.6,9.2,0.0
Hoskins,NE,69.4,21.4,9.0,0.2
Hosmer,SD,73.1,11.8,14.7,0.4
Houma,LA,82.8,11.9,5.2,0.2
Houston,MS,79.4,14.4,6.2,0.0
Houston,TX,83.4,10.1,6.3,0.1
Hoven,SD,72.4,12.5,14.9,0.2
Howard,KS,59.2,26.6,13.6,0.5
Howard,OH,81.0,11.8,7.1,0.2
Howells,NE,83.3,8.2,8.3,0.3
Hudgins,VA,71.6,20.2,8.2,0.0
Hudson,KY,76.7,15.8,7.2,0.3
Hughes Springs,TX,75.3,17.5,7.1,0.0
Hughesville,MD,64.3,32.6,2.9,0.2
Hughesville,PA,83.8,11.1,5.0,0.1
Hugo,MN,84.7,11.0,4.2,0.1
Hugoton,KS,79.0,15.3,5.7,0.0
Hulett,WY,72.6,15.5,11.7,0.2
Hume,MO,72.2,15.5,12.0,0.3
Humeston,IA,74.9,14.5,9.7,0.9
Humphrey,AR,69.6,26.3,3.9,0.1
Hunnewell,MO,77.3,14.8,7.6,0.2
Hunter,KS,73.0,15.5,11.1,0.4
Huntersville,NC,86.0,9.1,4.8,0.1
Huntley,IL,84.8,10.4,4.7,0.1
Huntsville,AL,75.6,19.5,4.7,0.2
Huntsville,TX,64.3,29.6,5.9,0.2
Huron,SD,70.2,9.7,19.7,0.4
Hurt,VA,79.8,14.2,5.9,0.2
Huson,MT,75.6,17.2,7.2,0.0
Hutchinson,KS,75.1,17.2,7.4,0.3
Hyannis,NE,67.2,12.2,20.6,0.0
Hyde Park,VT,77.0,12.2,10.5,0.3
Hydro,OK,71.2,19.8,8.1,0.8
Hymera,IN,84.0,11.9,4.1,0.0
Idaho Falls,ID,78.0,15.2,6.6,0.3
Idlewild,MI,77.0,15.2,7.4,0.5
Ignacio,CO,66.3,14.8,18.3,0.6
Ilwaco,WA,70.2,22.1,7.7,0.0
Imogene,IA,73.9,17.7,8.4,0.0
Imperial,CA,66.6,27.8,5.2,0.4
Inchelium,WA,52.4,40.6,6.4,0.5
Independence,WV,76.0,18.0,5.8,0.2
Indiahoma,OK,66.1,27.8,5.9,0.2
Indianapolis,IN,85.4,10.5,4.0,0.1
Indianola,MS,70.9,23.6,5.0,0.5
Indianola,NE,72.7,15.8,11.2,0.3
Ingalls,KS,71.2,13.6,14.3,0.9
Ingram,TX,72.8,16.7,10.4,0.1
Interior,SD,34.1,43.1,21.5,1.2
Interlochen,MI,83.0,9.5,7.3,0.2
Inver Grove Heights,MN,83.8,11.9,4.2,0.1
Ione,WA,62.5,26.5,10.4,0.7
Iowa,LA,73.7,20.3,5.8,0.2
Iowa City,IA,67.0,28.0,4.8,0.2
Iron Mountain,MI,82.3,13.6,3.9,0.3
Irons,MI,75.3,16.2,8.0,0.5
Irvine,KY,76.5,16.9,6.2,0.4
Ivins,UT,80.9,13.7,5.3,0.2
Jackson,GA,75.9,18.7,4.2,1.1
Jackson,MO,81.2,13.9,4.7,0.2
Jackson,MS,70.9,23.3,5.8,0.1
Jackson,MT,66.9,20.9,11.7,0.5
Jackson,OH,76.4,18.2,5.0,0.3
Jackson,TN,80.0,14.2,5.5,0.3
Jacksonville,FL,83.6,12.0,4.3,0.1
Jacksonville,GA,62.7,30.8,6.6,0.0
Jacksonville,TX,72.9,20.4,6.5,0.2
Jameson,MO,64.7,19.6,15.4,0.3
Jamestown,IN,84.0,9.9,6.0,0.1
Jamestown,MO,68.8,23.5,7.6,0.1
Janesville,WI,83.6,11.7,4.5,0.1
Jaroso,CO,63.8,21.7,14.0,0.5
Jarratt,VA,74.7,21.5,3.9,0.0
Jarvisburg,NC,76.4,18.5,5.0,0.1
Jasper,AL,74.3,16.0,9.6,0.1
Jasper,AR,64.6,21.1,14.3,0.0
Jasper,FL,65.9,24.5,8.8,0.8
Jasper,GA,79.1,13.8,7.0,0.1
Jayton,TX,49.7,38.9,10.1,1.3
Jayuya,PR,62.2,31.8,6.0,0.0
Jean,NV,84.5,10.7,4.8,0.1
Jefferson,AL,72.6,18.8,7.9,0.7
Jefferson,PA,81.0,16.1,2.8,0.1
Jefferson,TX,78.7,15.2,5.9,0.1
Jeffersonville,VT,73.5,18.7,7.8,0.1
Jenkinsville,SC,78.0,18.8,3.2,0.1
Jennings,KS,64.9,22.3,12.2,0.6
Jennings,OK,74.3,16.6,9.0,0.1
Jerome,MO,74.5,20.6,4.8,0.0
Jersey,AR,72.8,21.6,5.6,0.0
Jersey,VA,62.3,33.9,3.7,0.1
Jersey City,NJ,84.7,10.9,4.4,0.1
Jesup,GA,71.2,21.6,6.5,0.6
Jewett,OH,81.9,12.4,5.0,0.7
Johnson,KS,65.4,21.1,13.4,0.2
Johnson,NE,62.3,27.0,10.6,0.1
Johnson City,NY,75.0,19.5,5.4,0.1
Johnson City,TN,76.2,16.9,6.8,0.05
Johnson Creek,WI,83.8,11.2,4.9,0.1
Johnston City,IL,74.0,21.1,4.9,0.0
Johnstown,PA,81.5,14.1,4.2,0.1
Jones,OK,78.6,15.1,6.1,0.2
Jonesboro,GA,77.9,18.7,3.3,0.0
Jonesboro,LA,67.8,23.7,7.4,1.1
Jonesville,NC,79.1,13.4,7.4,0.1
Jourdanton,TX,78.1,14.3,7.5,0.1
Judsonia,AR,79.2,14.7,5.7,0.4
Juncos,PR,68.5,21.6,9.7,0.2
Junction,TX,68.3,18.0,13.1,0.6
Junction City,KS,72.8,18.3,8.6,0.4
Juneau,AK,53.3,38.8,7.7,0.1
Juneau,WI,83.5,10.9,5.2,0.4
Kadoka,SD,59.3,11.7,28.5,0.5
Kahuku,HI,72.0,22.1,5.7,0.1
Kansas City,KS,82.9,12.9,4.0,0.2
Kansas City,MO,82.7,12.65,4.5,0.1
Karbers Ridge,IL,75.4,18.4,5.7,0.5
Karnak,IL,80.3,14.1,5.4,0.1
Katy,TX,81.7,12.5,5.7,0.2
Kaukauna,WI,87.0,8.6,4.3,0.2
Kearney,NE,79.2,13.7,6.6,0.4
Keatchie,LA,81.0,15.1,3.8,0.2
Keenes,IL,81.0,11.9,7.0,0.1
Kelley,IA,66.3,29.3,4.3,0.0
Kellyton,AL,78.4,15.6,5.5,0.5
Kelso,WA,79.0,14.8,5.8,0.4
Kemah,TX,75.8,18.2,5.8,0.2
Kemp,TX,77.4,16.7,5.8,0.1
Kempner,TX,65.5,26.5,8.0,0.0
Kenai,AK,72.2,17.4,9.8,0.5
Kendrick,ID,65.5,23.3,10.2,0.9
Kenilworth,UT,74.5,20.9,4.2,0.4
Kennard,TX,68.8,17.8,12.1,1.3
Kennedy,AL,81.9,14.2,3.8,0.1
Kennedy,NY,74.4,17.9,7.5,0.2
Kennett,MO,80.0,14.9,4.9,0.1
Kensington,KS,63.9,19.8,15.5,0.8
Kent,NY,77.8,17.0,5.1,0.1
Kent,OH,83.2,12.0,4.7,0.1
Kenton,OH,81.8,11.8,6.4,0.1
Kenton,OK,63.1,23.5,13.0,0.4
Keo,AR,76.8,18.0,5.1,0.2
Keota,OK,78.3,12.1,9.4,0.2
Kermit,TX,77.6,16.8,5.5,0.1
Kernersville,NC,82.4,12.2,5.3,0.2
Kewanee,IL,79.6,13.7,6.6,0.1
Kilmarnock,VA,72.2,16.1,11.7,0.0
Kinderhook,IL,74.2,17.0,8.3,0.6
King And Queen Court Hous,VA,76.6,16.2,7.3,0.0
King Ferry,NY,76.1,17.5,6.1,0.3
King Salmon,AK,49.7,39.2,11.1,0.0
King William,VA,78.6,15.2,6.0,0.2
Kingfield,ME,74.7,14.9,10.3,0.1
Kingman,KS,78.7,15.3,5.8,0.3
Kingsland,AR,70.2,24.5,5.3,0.0
Kingsport,TN,81.2,11.8,6.9,0.1
Kingston,NY,73.8,18.3,7.5,0.4
Kingston,OK,76.2,16.9,5.6,1.2
Kingston,UT,61.3,31.9,6.0,0.9
Kirksville,MO,71.8,22.3,5.9,0.0
Kirkville,IA,82.3,11.5,6.0,0.2
Kirkwood,IL,79.5,12.1,8.2,0.1
Kissimmee,FL,84.6,11.2,4.2,0.0
Kite,GA,70.9,21.0,7.5,0.5
Klamath Falls,OR,73.3,19.3,7.1,0.4
Klamath River,CA,63.5,22.7,13.8,0.1
