City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Aberdeen,71.2,21.7,7.0,0.2
Abilene,77.5,16.5,5.7,0.2
Abingdon,76.25,18.55,5.1,0.1
Adams Run,77.0,18.3,4.5,0.2
Addison,71.9,16.2,11.600000000000001,0.35
Adena,82.2,13.9,3.8,0.1
Adger,78.3,15.3,6.2,0.2
Adjuntas,63.0,28.7,8.0,0.3
Adrian,77.75,16.15,6.050000000000001,0.05
Afton,66.3,25.5,7.85,0.3
Aguada,65.6,24.65,9.649999999999999,0.05
Aguadilla,64.9,25.3,9.6,0.2
Aguas Buenas,68.5,20.5,11.0,0.0
Aguirre,61.6,32.4,6.0,0.0
Aiken,72.7,22.3,4.9,0.1
Akron,77.44999999999999,16.700000000000003,5.6,0.25
Akutan,78.6,15.4,5.9,0.2
Alamo,77.7,14.3,7.9,0.1
Alamogordo,62.7,31.5,5.3,0.4
Alamosa,69.9,21.0,8.6,0.5
Albany,72.31428571428572,21.542857142857144,6.071428571428571,0.1
Albion,72.7,11.8,15.6,0.0
Albrightsville,83.8,11.3,4.8,0.1
Albuquerque,74.0,20.1,5.6,0.2
Alexander,73.0,12.6,13.9,0.5
Alexander City,70.4,24.1,5.5,0.0
Alexandria,77.6,12.55,9.7,0.15
Alice,76.0,17.2,6.4,0.3
Aliceville,71.1,23.8,5.1,0.0
Alix,71.5,20.1,7.8,0.5
Alleghany,45.0,42.3,9.7,3.1
Allen,84.1,10.0,5.8,0.2
Allendale,78.5,13.2,8.3,0.0
Allenhurst,63.1,29.1,7.8,0.0
Alleyton,72.6,17.3,9.0,1.1
Alliance,64.4,20.8,14.4,0.5
Allison,69.3,18.4,12.1,0.2
Allouez,63.8,27.6,6.7,2.0
Alma,76.4,19.15,4.4,0.1
Alma Center,73.0,18.1,8.5,0.4
Almena,80.8,10.9,8.1,0.2
Almyra,76.4,15.3,7.7,0.6
Alpena,76.16666666666667,12.933333333333332,10.666666666666666,0.2333333333333333
Alpharetta,83.1,11.5,5.2,0.1
Alpine,75.85,14.8,9.2,0.15000000000000002
Alston,81.0,13.9,5.0,0.0
Altamont,75.7,19.6,4.7,0.0
Alto,72.05000000000001,18.55,8.75,0.6
Altonah,75.1,20.4,4.3,0.2
Altoona,81.5,13.1,5.2,0.1
Altus,65.1,29.2,5.7,0.1
Alva,66.5,20.75,12.55,0.25
Alvo,76.1,17.6,6.1,0.2
Amado,74.9,18.3,6.6,0.2
Amargosa Valley,74.6,20.1,5.2,0.2
Amarillo,78.30000000000001,14.95,6.65,0.15000000000000002
Amasa,75.4,17.1,7.2,0.3
Amboy,79.9,13.4,6.5,0.2
Amelia,67.6,14.0,18.1,0.4
Amistad,67.3,25.7,6.6,0.4
Amity,71.9,16.3,11.5,0.3
Anaconda,58.5,30.950000000000003,10.15,0.39999999999999997
Anamosa,77.6,12.7,9.5,0.2
Anawalt,66.4,30.8,2.7,0.0
Anchorage,73.3,20.9,5.7,0.1
Andalusia,75.8,17.4,6.550000000000001,0.25
Anderson,81.2,13.1,5.5,0.2
Andersonville,71.5,22.1,6.4,0.0
Andrews,79.4,11.399999999999999,8.9,0.3
Angela,63.5,28.8,7.0,0.8
Angola,60.1,33.8,5.9,0.2
Angoon,53.5,30.9,15.6,0.0
Angora,67.2,20.8,11.8,0.2
Animas,69.0,26.1,4.2,0.7
Annabella,71.9,21.0,5.6,1.5
Annapolis,76.3,19.4,4.0,0.2
Anniston,74.1,20.8,5.0,0.1
Antigo,81.6,11.7,6.3,0.4
Apache,67.2,25.1,7.7,0.1
Appleton City,73.6,16.3,9.1,1.1
Arab,78.0,14.8,7.1,0.1
Aragon,50.3,39.7,8.3,1.7
Aransas Pass,75.4,12.4,12.2,0.1
Arapahoe,70.65,17.7,10.9,0.75
Arcadia,73.36666666666667,18.3,8.266666666666666,0.06666666666666667
Arcanum,82.75,11.4,5.65,0.2
Arco,64.6,27.9,7.4,0.1
Arcola,76.4,15.0,8.4,0.2
Ardenvoir,76.8,16.0,6.9,0.2
Ardmore,69.6,23.2,6.9,0.2
Arena,76.5,13.7,9.4,0.4
Arkadelphia,73.1,21.2,5.3,0.3
Arlington,73.96666666666667,19.616666666666667,6.266666666666667,0.16666666666666666
Armagh,78.4,14.7,6.7,0.2
Armour,68.5,12.8,18.4,0.3
Armstrong,51.9,48.1,0.0,0.0
Arnett,75.4,20.7,3.7,0.1
Arnold,63.1,22.400000000000002,14.266666666666666,0.2333333333333333
Arpin,83.5,10.8,5.5,0.2
Arroyo,62.7,30.5,6.9,0.0
Artemus,77.0,17.9,4.6,0.4
Ash,78.0,13.6,8.1,0.2
Ash Grove,80.45,12.25,7.050000000000001,0.25
Ashburn,71.65,23.4,4.95,0.05
Ashburnham,81.2,13.1,5.5,0.2
Ashford,77.7,17.8,4.5,0.0
Ashland,79.775,13.55,6.625,0.1
Ashley,74.8,11.7,10.9,2.6
Aspen,80.5,9.4,9.8,0.2
Assaria,83.0,10.5,6.3,0.3
Astoria,79.9,13.6,6.4,0.1
Atchison,80.1,13.5,6.0,0.4
Athens,76.83333333333333,17.966666666666665,5.1000000000000005,0.10000000000000002
Atkins,76.5,16.9,6.4,0.2
Atlanta,77.3,13.8,8.7,0.2
Atlantic,73.2,18.6,7.7,0.5
Atlantic City,79.6,15.5,4.7,0.2
Attleboro,81.8,13.3,4.9,0.1
Atwood,76.3,16.2,7.3,0.1
Au Gres,80.7,11.2,7.9,0.2
Auburn,78.1,16.575,5.225,0.1
Auburntown,75.0,14.0,10.8,0.2
Audubon,74.3,16.4,9.0,0.3
Augusta,78.5,16.525,4.85,0.1
Aurora,80.9,11.45,7.6,0.05
Austin,79.86666666666666,14.133333333333333,5.833333333333333,0.20000000000000004
Austinburg,84.5,10.4,5.0,0.1
Austinville,74.7,16.0,9.1,0.2
Autaugaville,73.6,20.9,5.5,0.0
Avera,68.6,24.2,7.1,0.1
Avinger,76.0,15.9,8.1,0.0
Avoca,68.7,20.5,10.3,0.5
Avondale,76.6,18.7,4.5,0.2
Axtell,70.4,21.65,7.9,0.05
Axton,81.7,13.8,4.3,0.1
Azle,76.9,14.9,8.1,0.1
Bainbridge,70.2,21.4,8.0,0.5
Bajadero,67.5,25.0,7.4,0.2
Baker,64.7,19.8,14.0,1.5
Baker City,71.2,19.1,9.5,0.3
Bakersfield,76.25,15.399999999999999,8.05,0.25
Baldwin,85.2,9.5,5.0,0.3
Baldwyn,83.2,12.3,4.4,0.1
Balko,73.3,17.2,9.3,0.2
Ball Ground,83.5,10.7,5.5,0.3
Baltic,81.3,5.8,12.3,0.7
Baltimore,76.4,20.1,3.4,0.1
Bandana,79.9,11.7,8.4,0.0
Banks,75.8,18.7,5.5,0.1
Barceloneta,65.6,29.1,5.2,0.0
Barksdale,57.2,23.0,19.7,0.0
Barnesville,73.94999999999999,17.1,8.55,0.45
Barnhart,84.6,10.3,5.0,0.2
Barnum,78.0,13.4,8.4,0.2
Barranquitas,65.2,26.2,8.6,0.0
Bartlett,78.9,14.9,6.0,0.1
Barton,80.1,14.9,4.9,0.2
Bartow,74.5,18.8,6.2,0.5
Basehor,69.7,25.6,4.7,0.0
Basile,82.4,10.6,7.0,0.0
Bassett,75.5,18.0,6.4,0.0
Batavia,76.6,18.0,5.2,0.2
Bates,57.7,29.3,12.4,0.6
Batesburg,78.5,13.8,6.6,1.2
Batesville,83.1,11.6,5.2,0.1
Bath,74.1,16.2,9.7,0.0
Bath Springs,63.7,25.1,11.1,0.2
Battle Creek,80.6,12.0,7.2,0.1
Battle Ground,81.6,12.5,5.8,0.2
Battle Mountain,57.9,33.8,8.3,0.0
Bauxite,76.4,18.4,5.0,0.2
Bay City,80.65,13.3,6.0,0.05
Bay Port,79.8,11.1,8.7,0.4
Bayamon,70.9,20.8,8.2,0.2
Bayport,77.1,18.1,4.7,0.1
Beach,64.1,17.8,14.2,3.8
Beach Haven,78.0,16.3,5.4,0.2
Bealeton,73.0,20.0,6.7,0.3
Bear Creek,73.0,17.8,9.1,0.2
Beattyville,65.6,30.8,3.7,0.0
Beaufort,79.0,14.6,6.2,0.2
Beaumont,70.5,14.9,13.8,0.9
Beaverton,81.55000000000001,10.85,7.3,0.3
Bechtelsville,85.8,9.1,5.0,0.1
Becker,83.9,11.2,4.7,0.2
Bedford,83.1,11.1,5.9,0.0
Bee Branch,71.7,17.0,11.3,0.0
Beeson,77.2,17.7,5.0,0.1
Beeville,70.5,22.7,6.7,0.2
Bejou,69.2,15.9,14.5,0.4
Belden,82.9,11.7,5.3,0.1
Belgium,85.5,8.5,5.7,0.2
Bella Vista,72.9,16.7,10.3,0.2
Bellaire,78.2,11.5,10.0,0.3
Belle Plaine,86.6,9.2,4.1,0.1
Belleview,75.2,19.1,5.5,0.1
Belleville,79.8,16.1,4.0,0.1
Bellevue,76.25,16.4,7.25,0.15000000000000002
Bells,78.4,13.8,7.5,0.3
Belmont,73.9,18.8,7.1,0.2
Belpre,80.0,15.0,4.8,0.1
Belvidere,69.4,25.9,4.5,0.2
Bend,74.7,15.1,10.0,0.1
Benicia,74.2,19.7,6.0,0.1
Benkelman,60.9,19.3,19.7,0.0
Bennett,73.6,16.3,9.5,0.6
Bennington,79.55000000000001,11.649999999999999,7.9,0.9
Benzonia,78.0,14.9,7.0,0.1
Berea,74.95,18.85,6.2,0.0
Berkeley Springs,72.5,19.9,7.6,0.0
Berlin Heights,81.4,13.0,5.5,0.1
Bern,71.5,17.9,10.3,0.2
Bernalillo,72.3,21.4,6.2,0.1
Berryton,72.6,19.8,7.5,0.1
Berthoud,80.3,13.1,6.4,0.2
Berwick,80.4,14.9,4.7,0.0
Bessemer,76.0,19.5,4.3,0.2
Bethlehem,83.9,10.35,5.5,0.2
Bethune,62.9,22.9,14.0,0.2
Beulah,62.6,22.450000000000003,14.350000000000001,0.65
Biddeford,78.1,14.0,7.7,0.2
Big Cabin,73.2,18.6,7.8,0.4
Big Pine Key,76.7,14.0,9.1,0.2
Big Rock,72.15,23.15,4.6,0.1
Big Sandy,66.4,21.45,11.45,0.7
Big Spring,68.5,17.0,14.4,0.0
Big Wells,70.5,21.9,7.6,0.0
Bighill,76.9,18.8,4.2,0.2
Biglerville,82.9,11.1,5.9,0.2
Billings,81.85,11.399999999999999,6.6,0.15000000000000002
Billingsley,80.3,15.2,4.1,0.5
Binford,70.6,11.1,17.4,0.9
Bingen,70.9,19.7,9.0,0.3
Bird City,60.0,23.8,15.1,1.1
Birdsnest,72.3,17.4,10.2,0.1
Birmingham,80.9,14.4,4.6,0.2
Bisbee,56.5,15.8,26.9,0.8
Bishop,62.4,27.0,10.15,0.45
Bismarck,76.1,18.299999999999997,5.5,0.1
Black River,67.0,26.2,6.7,0.1
Black River Falls,71.9,20.6,7.2,0.3
Blacksburg,74.35,21.75,3.8,0.1
Blackstone,62.8,32.5,4.7,0.0
Blackwell,67.4,24.3,8.15,0.15
Blanchard,74.6,13.1,12.2,0.0
Blanchardville,75.2,12.1,12.1,0.6
Blanchester,83.8,10.6,5.4,0.2
Blanco,69.95,21.1,8.8,0.15
Bledsoe,66.6,20.9,12.0,0.4
Bloomery,74.1,17.5,8.2,0.2
Bloomfield,76.7,13.7,9.4,0.2
Bloomingdale,80.6,12.4,6.8,0.2
Bloomington Springs,75.7,15.3,8.6,0.4
Blountsville,82.0,13.5,4.2,0.4
Blue Mound,78.5,13.4,8.0,0.2
Blue Mountain,82.7,11.6,5.6,0.1
Blue Ridge,73.1,19.8,7.1,0.1
Blue River,74.7,16.6,8.0,0.7
Blue Springs,78.25,14.100000000000001,7.45,0.2
Bluff City,70.4,19.1,10.0,0.6
Bluff Dale,78.6,11.0,9.9,0.5
Bluffton,77.8,13.8,7.4,1.1
Bogart,78.3,15.3,6.0,0.4
Bogata,68.5,17.4,13.8,0.4
Boise,62.7,25.8,11.2,0.3
Bomont,69.1,22.9,7.0,1.0
Bond,81.1,14.6,4.2,0.1
Bonesteel,63.1,17.6,18.6,0.7
Bonita Springs,83.8,8.5,7.4,0.2
Bonners Ferry,71.7,16.8,11.1,0.4
Boone,69.3,22.8,7.3,0.5
Boones Mill,80.1,13.5,6.3,0.2
Boonville,81.2,11.4,7.3,0.0
Boston,80.16666666666667,14.366666666666667,5.333333333333333,0.10000000000000002
Boswell,72.3,21.5,6.1,0.1
Boulder,70.8,20.1,8.9,0.3
Bouton,83.7,11.3,4.8,0.2
Boutte,79.8,14.1,6.0,0.1
Bovina,77.6,12.5,9.3,0.5
Bowie,73.86666666666666,18.566666666666666,7.2,0.3666666666666667
Bowlegs,72.6,21.2,6.1,0.1
Bowling Green,78.94999999999999,16.200000000000003,4.7,0.15000000000000002
Bowman,71.6,16.6,11.4,0.3
Box Elder,68.1,25.7,4.6,1.6
Boyertown,86.2,8.1,5.5,0.1
Bozeman,73.2,17.7,8.6,0.4
Bracey,69.6,22.200000000000003,8.05,0.15000000000000002
Brackenridge,86.2,9.3,4.5,0.1
Brackettville,48.7,38.1,13.2,0.0
Bradenton Beach,82.3,11.8,5.5,0.3
Bradford,78.35,12.5,8.45,0.7000000000000001
Bradgate,70.5,13.9,15.5,0.1
Bradleyville,82.8,8.4,8.8,0.1
Brady,68.1,16.2,14.6,1.1
Braidwood,85.2,11.6,3.1,0.1
Branchville,82.4,11.9,5.4,0.3
Brandon,83.4,12.2,4.3,0.1
Brandy Station,75.1,17.4,7.5,0.1
Brasstown,77.9,13.5,8.2,0.4
Braxton,76.5,19.3,4.1,0.1
Brazil,79.6,13.0,7.1,0.2
Breaux Bridge,81.7,13.7,4.4,0.3
Breckenridge,71.9,16.0,11.9,0.2
Breda,76.6,13.3,9.9,0.2
Breeding,74.8,17.7,7.6,0.0
Bremen,85.2,9.0,5.6,0.2
Bremo Bluff,71.2,20.6,8.1,0.1
Bremond,70.8,20.5,8.4,0.3
Brenham,77.0,14.950000000000001,8.0,0.1
Brewerton,78.3,16.8,4.8,0.1
Briceville,75.9,18.4,5.7,0.1
Bridgeport,75.0,19.3,5.6,0.1
Bridgeton,75.0,21.1,3.6,0.3
Bridgeville,49.8,29.6,12.7,8.0
Bridgewater Corners,76.7,13.2,10.0,0.2
Brierfield,76.8,16.1,6.7,0.4
Brighton,78.6,16.7,4.6,0.1
Brightwood,68.8,17.6,13.7,0.0
Briscoe,71.1,16.4,12.5,0.0
Bristol,81.1,13.649999999999999,5.050000000000001,0.15
Bristow,72.25,18.1,9.15,0.55
Broadus,51.2,23.5,23.2,2.1
Broadview,69.8,17.55,11.299999999999999,1.35
Brocket,73.0,18.2,8.5,0.3
Broken Bow,75.1,16.6,8.2,0.2
Bronston,78.8,15.3,5.6,0.3
Bronx,79.9,14.8,5.2,0.1
Brookesmith,75.2,16.5,8.2,0.1
Brookings,75.5,18.6,5.6,0.4
Brooklyn,78.44999999999999,15.350000000000001,6.0,0.25
Brooks,84.6,10.9,4.4,0.1
Brooksville,79.9,14.5,5.4,0.1
Brookville,82.0,10.5,7.2,0.3
Broomfield,79.8,13.8,6.2,0.2
Browns Valley,66.3,15.5,18.0,0.2
Brownsville,72.7,18.2,8.9,0.2
Brownton,85.5,8.5,5.9,0.1
Brunswick,79.2,15.0,5.65,0.15000000000000002
Brusly,76.5,17.9,5.6,0.0
Brutus,80.9,12.0,6.8,0.4
Bryan,68.3,25.6,5.8,0.2
Buchanan,79.83333333333333,13.700000000000001,6.333333333333333,0.10000000000000002
Buckatunna,78.1,14.4,7.3,0.2
Buckhannon,76.9,17.0,5.7,0.3
Buckholts,68.5,21.3,9.8,0.4
Buena Vista,76.1,16.75,6.449999999999999,0.65
Buffalo,67.7,16.266666666666666,14.466666666666669,1.5999999999999999
Buford,83.7,11.2,5.1,0.0
Buhl,78.8,10.6,9.6,1.0
Bullhead City,78.3,15.0,6.4,0.3
Bullock,74.9,20.6,4.4,0.0
Buna,77.7,15.5,6.7,0.1
Buncombe,68.9,23.8,6.5,0.8
Burbank,66.2,27.8,6.0,0.1
Burgaw,76.7,14.9,8.2,0.2
Burley,79.8,13.7,6.3,0.1
Burlington,75.63333333333333,18.03333333333333,6.166666666666667,0.13333333333333333
Burlington Junction,74.6,16.4,8.7,0.3
Burns,78.6,14.6,6.7,0.0
Burnsville,80.6,13.1,6.2,0.1
Burton,79.7,17.2,2.9,0.1
Burwell,55.85,16.95,26.700000000000003,0.5
Bushnell,68.2,16.9,14.9,0.0
Bussey,82.7,11.3,5.9,0.1
Butte,67.55,15.8,15.850000000000001,0.75
Butternut,74.4,18.9,6.6,0.1
Byhalia,82.4,12.6,5.0,0.0
Byrdstown,64.3,23.6,12.0,0.1
Byron,66.55000000000001,27.95,5.449999999999999,0.05
Cabins,77.7,15.1,7.1,0.0
Cadiz,74.1,18.7,6.8,0.4
Caguas,71.1,20.1,8.7,0.1
Cairo,78.55,15.95,5.5,0.05
Caldwell,79.8,13.8,6.1,0.4
Caledonia,73.9,19.7,5.8,0.6
Calhoun,80.25,12.25,7.1,0.35
Calhoun City,78.4,12.3,9.1,0.2
Caliente,50.1,43.1,6.6,0.3
Call,79.4,15.8,4.8,0.0
Calumet,73.5,21.3,5.0,0.2
Calvin,78.6,17.3,3.5,0.6
Camarillo,77.8,13.2,8.8,0.2
Cambria,79.7,11.2,8.9,0.2
Cambridge,72.63333333333333,16.766666666666666,10.0,0.6
Camden,74.76666666666667,18.233333333333334,6.833333333333333,0.16666666666666666
Cameron,76.1,14.8,9.0,0.1
Camilla,72.5,18.5,7.9,1.1
Camp Douglas,77.3,16.3,6.1,0.4
Camp Hill,79.0,16.0,4.9,0.2
Campbellsburg,83.8,9.7,6.4,0.1
Campbelltown,81.0,12.3,6.4,0.2
Campton,69.85,22.8,7.0,0.35
Camuy,66.5,23.9,9.3,0.2
Canandaigua,79.1,15.1,5.7,0.1
Candor,76.95,17.05,5.75,0.25
Cannelburg,79.5,13.7,6.3,0.5
Cannon Beach,74.9,15.9,8.9,0.3
Canovanas,70.8,21.2,7.9,0.0
Canton,76.4,14.966666666666667,8.166666666666666,0.5
Cantwell,66.4,24.5,7.9,1.2
Cape Coral,82.8,10.6,6.4,0.2
Carey,73.2,14.0,12.6,0.2
Carlyle,79.1,14.7,6.1,0.1
Carmel,76.0,17.6,6.1,0.3
Carolina,69.0,22.0,8.9,0.1
Carpenter,70.2,16.95,12.15,0.7
Carrabelle,58.9,26.1,14.9,0.1
Carrington,69.6,12.9,16.3,1.1
Carrollton,74.4,19.9,5.5,0.2
Carson,67.65,14.100000000000001,17.549999999999997,0.75
Carson City,70.3,24.5,4.9,0.2
Cartersville,74.8,18.8,6.3,0.05
Carthage,71.20000000000002,21.15,7.175,0.45
Cartwright,75.8,13.1,10.9,0.2
Cascade Locks,79.0,13.3,7.7,0.0
Casco,82.3,8.8,8.7,0.2
Cassatt,77.1,17.5,5.2,0.2
Castalia,77.0,16.5,6.4,0.1
Castell,66.0,11.6,21.8,0.6
Castleford,80.1,12.1,7.5,0.3
Cataldo,79.7,12.1,8.0,0.3
Cataula,76.9,17.6,5.5,0.0
Catoosa,81.2,13.1,5.5,0.2
Cave City,77.1,15.9,6.9,0.2
Cayce,76.1,18.4,5.3,0.2
Cayey,66.3,23.1,10.7,0.0
Cayuga,82.3,10.6,6.7,0.4
Cecil,74.9,17.5,7.6,0.0
Cedar Bluff,76.7,18.2,5.1,0.0
Cedar Falls,81.1,12.2,6.6,0.2
Cedar Valley,83.1,12.3,4.4,0.2
Ceiba,65.4,20.7,14.0,0.0
Centenary,81.3,13.9,4.8,0.0
Center,68.6,18.25,12.85,0.25
Center Harbor,74.1,16.5,9.2,0.2
Centerview,70.5,22.9,6.2,0.3
Centerville,76.73333333333333,14.5,8.6,0.16666666666666666
Central,76.2,18.2,5.6,0.1
Central Bridge,67.3,23.8,8.4,0.5
Central City,80.3,14.2,5.5,0.0
Centralia,78.7,15.4,5.9,0.0
Centreville,72.9,21.5,5.4,0.1
Ceres,78.9,14.2,6.8,0.2
Ceresco,75.6,15.6,8.4,0.4
Chadwick,78.1,12.0,9.8,0.1
Challis,65.7,20.9,12.4,1.1
Chamberlain,66.4,16.3,15.4,1.9
Chambers,59.1,16.8,22.7,1.4
Chapel Hill,67.7,25.5,6.6,0.2
Chapin,73.6,22.1,4.3,0.1
Chapmansboro,76.0,14.5,9.2,0.3
Chapmanville,77.8,17.8,4.4,0.0
Chappell,69.6,17.7,12.7,0.0
Charleston,78.06666666666666,16.0,5.766666666666667,0.20000000000000004
Charlo,65.3,22.4,11.8,0.5
Charlottesville,68.1,25.8,6.0,0.0
Chase,71.8,16.3,11.6,0.3
Chateaugay,62.5,28.9,8.3,0.2
Chatfield,82.3,11.4,6.0,0.3
Cherokee,72.6,19.1,8.175,0.075
Cherryvale,70.1,18.9,10.8,0.2
Chesapeake,73.1,22.6,4.2,0.1
Chester,76.36666666666666,14.966666666666669,8.166666666666666,0.5333333333333333
Chester Gap,74.0,18.9,6.8,0.3
Chesterland,82.0,9.6,8.1,0.2
Cheyenne,67.6,27.7,4.5,0.2
Cheyenne Wells,57.1,26.0,16.6,0.3
Chicopee,79.5,15.1,5.2,0.1
Chicora,84.9,10.0,4.9,0.1
Chiefland,70.9,18.7,10.3,0.1
Chili,75.8,9.0,14.7,0.6
Chillicothe,69.94999999999999,21.25,8.6,0.25
Chilton,86.0,9.5,4.3,0.2
Christiana,80.6,13.4,5.8,0.1
Christmas Valley,59.4,27.8,11.5,1.3
Church Hill,79.8,12.6,7.6,0.0
Ciales,58.5,35.8,5.8,0.0
Cibolo,77.0,17.9,4.8,0.3
Cidra,70.6,20.8,8.7,0.0
Cincinnati,84.8,10.4,4.7,0.1
Cincinnatus,72.7,20.6,6.5,0.2
Cisco,76.4,15.1,7.8,0.7
Claremont,73.65,16.1,10.149999999999999,0.15000000000000002
Clarence,76.65,14.8,8.350000000000001,0.2
Clarendon,56.4,29.8,13.7,0.0
Clark,66.9,12.8,18.7,1.5
Clarks Mills,82.8,11.0,6.0,0.2
Clarksdale,77.5,16.3,6.1,0.0
Clarkson,74.0,14.6,10.2,1.1
Clarkston,76.9,16.6,6.5,0.0
Clay City,81.8,11.3,6.9,0.0
Clayton,68.8,21.160000000000004,9.86,0.13999999999999999
Cle Elum,66.1,26.0,7.7,0.3
Clearbrook,70.3,20.1,9.2,0.4
Cleveland,77.325,15.825,6.6,0.22500000000000003
Clifford,78.8,15.1,5.9,0.2
Clifton,71.05000000000001,17.35,11.25,0.4
Clifton Forge,77.3,16.3,6.3,0.1
Clinton,76.1,15.0,9.0,0.0
Clio,71.8,20.8,7.3,0.1
Cloquet,72.8,20.4,6.4,0.3
Clover,82.2,12.6,5.0,0.2
Cloverdale,73.7,16.5,9.8,0.1
Cluster Springs,73.5,18.9,7.3,0.3
Coahoma,72.0,23.0,4.9,0.1
Coal City,83.7,12.2,4.1,0.1
Coalgate,64.6,25.2,9.5,0.7
Coamo,64.4,28.0,7.5,0.0
Coats,71.9,17.2,9.6,1.3
Coatsville,68.1,17.7,13.6,0.5
Coeburn,66.5,28.8,4.3,0.3
Coffeeville,82.2,12.6,5.1,0.1
Colby,69.9,18.5,11.4,0.1
Cold Brook,76.3,16.7,6.9,0.2
Coldwater,79.9,15.8,4.2,0.1
